Year,Country,HS Code,Description,Export Value (USD)
2013,土耳其,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,229171.91
2013,中國大陸,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,346793192.12
2013,丹麥,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,172329.6
2013,厄瓜多,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,169.2
2013,巴西,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,541285.74
2013,巴基斯坦,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,21731.73
2013,日本,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,11806663.76
2013,比利時,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,102217.94
2013,以色列,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,134936.86
2013,加拿大,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,9179925.49
2013,瓜地馬拉,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,68.0
2013,白俄羅斯,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,5931.28
2013,立陶宛,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,7620.03
2013,冰島,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,45463.75
2013,匈牙利,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,187900.09
2013,印尼,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,1001535.51
2013,印度,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,3968990.88
2013,托克勞,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,2327.93
2013,西班牙,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,683784.03
2013,利比亞,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,1990.55
2013,希臘,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,4555.08
2013,沙烏地阿拉伯,85423100002, Processors and controllers whether or not combined with memories converters logic circuits amplifiers clock and timing circuits or other circuits,5663.179999999999
